2016-09-29 17:28:53,387 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Thu Sep 29 17:28:53 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-29 17:28:54,527 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-29 17:28:54,527 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-29 17:28:54,558 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-29 17:28:54,932 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-29 17:28:54,932 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-29 17:28:55,166 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-29 17:28:55,166 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-29 17:28:55,182 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-58623-1475150334979-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-29 17:28:55,229 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-29 17:28:55,354 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-29 17:28:55,447 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-29 17:28:55,915 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-29 17:28:55,962 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-29 17:28:55,978 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-29 17:28:56,087 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 10:10:27,720 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 10:10:27 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 10:10:29,108 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 10:10:29,108 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 10:10:29,123 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:10:29,747 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:10:29,919 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:10:29,919 | INFO  | Recovery replayed 2 operations from the journal in 0.156 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:10:29,919 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:10:29,919 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:10:30,153 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 10:10:30,153 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-30 10:10:30,168 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-61739-1475210429950-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:10:30,246 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 10:10:30,777 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 10:10:31,026 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 10:10:31,790 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 10:10:31,853 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 10:10:31,946 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 10:10:32,024 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 10:12:44,537 | INFO  | ActiveMQ Message Broker (localhost, ID:PC308393-61739-1475210429950-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2016-09-30 10:12:44,537 | INFO  | ActiveMQ Message Broker (localhost, ID:PC308393-61739-1475210429950-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-17
2016-09-30 10:12:44,537 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-17
2016-09-30 10:13:00,228 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 10:13:00 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 10:13:00,771 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 10:13:00,771 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 10:13:00,786 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,286 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,351 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,351 | INFO  | Recovery replayed 2 operations from the journal in 0.049 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,382 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,382 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,569 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 10:13:01,569 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
